id12101,48,FEMALE,INNER_CITY,22467,YES,0,YES,YES,NO,YES,YES
id12102,40,MALE,TOWN,32825,NO,3,NO,YES,YES,NO,YES
id12103,51,FEMALE,INNER_CITY,16575.4,NO,1,NO,NO,YES,YES,YES
id12104,23,FEMALE,TOWN,20375.4,NO,0,YES,YES,YES,YES,NO
id12105,57,FEMALE,RURAL,50576.3,NO,2,YES,NO,NO,YES,NO
id12106,57,FEMALE,TOWN,37869.6,YES,3,NO,YES,YES,YES,YES
id12107,22,MALE,RURAL,8877.07,YES,1,YES,NO,YES,NO,YES
id12108,58,MALE,TOWN,24946.6,NO,2,NO,YES,YES,NO,NO
id12109,37,FEMALE,SUBURBAN,25304.3,YES,3,NO,NO,NO,NO,NO
id12110,54,MALE,TOWN,24212.1,YES,2,YES,YES,YES,NO,NO
id12111,66,FEMALE,TOWN,59803.9,YES,0,NO,YES,YES,NO,NO
id12112,52,FEMALE,INNER_CITY,266222.8,NO,0,YES,YES,YES,YES,NO
id12113,44,FEMALE,TOWN,15735.8,YES,1,NO,YES,YES,YES,YES
id12114,66,FEMALE,TOWN,55204.7,YES,1,YES,YES,YES,YES,YES
id12115,36,MALE,RURAL,19474.6,YES,0,NO,YES,YES,YES,NO
id12116,38,FEMALE,INNER_CITY,22342.1,YES,0,YES,YES,YES,YES,NO
id12117,37,FEMALE,TOWN,17729.8,YES,2,NO,NO,NO,YES,NO
id12118,46,FEMALE,SUBURBAN,41016,YES,0,NO,YES,NO,YES,NO
id12119,62,FEMALE,INNER_CITY,26909.2,YES,0,NO,YES,NO,NO,YES
id12120,31,MALE,TOWN,22522.8,YES,0,YES,YES,YES,NO,NO
id12121,61,MALE,INNER_CITY,57880.7,YES,2,NO,YES,NO,NO,YES
id12122,50,MALE,TOWN,16497.3,YES,2,NO,YES,YES,NO,NO
id12123,54,MALE,INNER_CITY,38446.6,YES,0,NO,YES,YES,NO,NO
id12124,27,FEMALE,TOWN,15538.8,NO,0,YES,YES,YES,YES,NO
id12125,22,MALE,INNER_CITY,12640.3,NO,2,YES,YES,YES,NO,NO
id12126,56,MALE,INNER_CITY,41034,YES,0,YES,YES,YES,YES,NO
id12127,45,MALE,INNER_CITY,20809.7,YES,0,NO,YES,YES,YES,NO
id12128,39,FEMALE,TOWN,20114,YES,1,NO,NO,YES,NO,YES
id12129,39,FEMALE,INNER_CITY,29359.1,NO,3,YES,NO,YES,YES,NO
id12130,61,MALE,RURAL,24270.1,YES,1,NO,NO,YES,NO,YES
id12131,61,FEMALE,RURAL,22942.9,YES,2,NO,YES,YES,NO,NO
id12132,20,FEMALE,TOWN,16325.8,YES,2,NO,YES,NO,NO,NO
id12133,45,MALE,SUBURBAN,23443.2,YES,1,YES,YES,YES,NO,YES
id12134,33,FEMALE,INNER_CITY,29921.3,NO,3,YES,YES,NO,NO,NO
id12135,43,MALE,SUBURBAN,37521.9,NO,0,NO,YES,YES,NO,YES
id12136,27,FEMALE,INNER_CITY,19868,YES,2,NO,YES,YES,NO,NO
id12137,19,MALE,RURAL,10953,YES,3,YES,YES,YES,NO,NO
id12138,36,FEMALE,RURAL,13381,NO,0,YES,NO,YES,NO,YES
id12139,43,FEMALE,TOWN,18504.3,YES,0,YES,YES,YES,NO,NO
id12140,66,FEMALE,SUBURBAN,25391.5,NO,2,NO,NO,YES,NO,NO
id12141,55,MALE,TOWN,26774.2,YES,0,NO,NO,YES,YES,YES
id12142,47,FEMALE,INNER_CITY,26952.6,YES,0,YES,NO,YES,NO,NO
id12143,67,MALE,TOWN,55716.5,NO,2,YES,YES,NO,NO,YES
